scientific_name	rank
Doris	genus
Dosinia	genus
Doto	genus
Dreissena	genus
Drepanocladus	genus
Drilonereis	genus
Dudresnaya	genus
Dulichia	genus
Dumontia	genus
Durinskia	genus
Dynamena	genus
Dyopedos	genus
Ebalia	genus
Ebria	genus
Echinocardium	genus
Echinocyamus	genus
Echinocythereis	genus
Echinogammarus	genus
Echinus	genus
Echiurus	genus
Eclysippe	genus
Ecnomus	genus
Ecrobia	genus
Ectocarpus	genus
Ectopleura	genus
Edmundsella	genus
Edukemius	genus
Edwardsia	genus
Einfeldia	genus
Einhornia	genus
Eiseniella	genus
Elachista	genus
Elakatothrix	genus
Elatine	genus
Electra	genus
Eleocharis	genus
Elodea	genus
Elysia	genus
Emarginula	genus
Emiliania	genus
Endochironomus	genus
Enipo	genus
Ennucula	genus
Ensiculifera	genus
Ensis	genus
Entalina	genus
Entelurus	genus
Entomoneis	genus
Ephemera	genus
Ephydatia	genus
Epipyxis	genus
Epithemia	genus
Epitonium	genus
Equisetum	genus
Ericthonius	genus
Eriopisa	genus
Erpobdella	genus
Erythrocladia	genus
Erythrodermis	genus
Erythromma	genus
Erythrops	genus
Esox	genus
Eteone	genus
Euastrum	genus
Eucampia	genus
Eucapsis	genus
Euchlanis	genus
Euchone	genus
Euclymene	genus
Eudendrium	genus
Eudesme	genus
Eudorella	genus
Eudorellopsis	genus
Eudorina	genus
Eugerda	genus
Euglena	genus
Eugyra	genus
Eulalia	genus
Eulimella	genus
Eumida	genus
Eunereis	genus
Eunoe	genus
Eunotia	genus
Euphausia	genus
Euphysa	genus
Eupolymnia	genus
Eurycope	genus
Eurydice	genus
Eurynome	genus
Eurytemora	genus
Euspira	genus
Euterpina	genus
Eutetramorus	genus
Euthora	genus
Eutintinnus	genus
Eutreptia	genus
Eutreptiella	genus
Eutrigla	genus
Evadne	genus
Exogone	genus
Fabricia	genus
Fabriciola	genus
Fabulina	genus
Facelina	genus
Favella	genus
Fibrocapsa	genus
Filinia	genus
Filograna	genus
Fissidens	genus
Fjordia	genus
Flabelligera	genus
Flabellina	genus
Flustra	genus
Fontinalis	genus
Fragilaria	genus
Fragilariopsis	genus
Fragilidium	genus
Fritillaria	genus
Fucus	genus
Funiculina	genus
Furcellaria	genus
Fusola	genus
Gadus	genus
Galathea	genus
Galathowenia	genus
Galba	genus
Gammarellus	genus
Gammaropsis	genus
Gammarus	genus
Gari	genus
Gasterosteus	genus
Gastrosaccus	genus
Gattyana	genus
Genaxinus	genus
Geodia	genus
Geryon	genus
Gibbula	genus
Glenodinium	genus
Glossiphonia	genus
Glossobalanus	genus
Glycera	genus
Glycinde	genus
Glyphohesione	genus
Glyptocephalus	genus
Glyptotendipes	genus
Gnathia	genus
Gnathophausia	genus
Gobius	genus
Gobiusculus	genus
Golenkinia	genus
Golfingia	genus
Gomontia	genus
Gomphonema	genus
Gomphosphaeria	genus
Gonactinia	genus
Goneplax	genus
Goniada	genus
Goniochloris	genus
Gonium	genus
Gonothyraea	genus
Gonyaulax	genus
Gonyostomum	genus
Gorgonocephalus	genus
Gracilaria	genus
Gracilechinus	genus
Grammatophora	genus
Grammonema	genus
Grandidierella	genus
Graphis	genus
Griffithsia	genus
Guinardia	genus
Gymnocephalus	genus
Gymnodinium	genus
Gyptis	genus
Gyraulus	genus
Gyrodinium	genus
Gyromitus	genus
Gyrosigma	genus
Haemopis	genus
Halamphora	genus
Halarachnion	genus
Halcampa	genus
Halcampoides	genus
Halecium	genus
Halice	genus
Halichoerus	genus
Halichondria	genus
Haliclona	genus
Haliclystus	genus
Halicryptus	genus
Halidrys	genus
Haliella	genus
Haliphron	genus
Haliplus	genus
Halipteris	genus
Halosiphon	genus
Halosphaera	genus
Hannaea	genus
Haploops	genus
Haptolina	genus
Harmothoe	genus
Harnischia	genus
Harpinia	genus
Harrimania	genus
Haslea	genus
Hathrometra	genus
Hauchiella	genus
Haustorius	genus
Hediste	genus
Helicostomella	genus
Helicotheca	genus
Helobdella	genus
Hemigrapsus	genus
Hemilamprops	genus
Hemilepton	genus
Hemimysis	genus
Hemiselmis	genus
Henricia	genus
Heptagenia	genus
Hermania	genus
Heteranomia	genus
Heterocapsa	genus
Heteroclymene	genus
Heteromastus	genus
Heterosigma	genus
Heterosiphonia	genus
Heterotanais	genus
Heterotanytarsus	genus
Heterotrissocladius	genus
Hiatella	genus
Hilbigneris	genus
Hildenbrandia	genus
Hindakia	genus
Hippasteria	genus
Hippoglossoides	genus
Hippolyte	genus
Hippomedon	genus
Hippuris	genus
Holocentropus	genus
Homarus	genus
Hormathia	genus
Hubrechtella	genus
Hyala	genus
Hyalodiscus	genus
Hyas	genus
Hydra	genus
Hydractinia	genus
Hydrallmania	genus
Hydrobia	genus
Hydroides	genus
Hydropsyche	genus
Hydroptila	genus
Hyperia	genus
Ianiropsis	genus
Idotea	genus
Ilyarachna	genus
Ilyocryptus	genus
Inachus	genus
Iphimedia	genus
Iphinoe	genus
Ischnomesus	genus
Ischnura	genus
Ischyrocerus	genus
Isoëtes	genus
Ithytrichia	genus
Jaera	genus
Janira	genus
Jasmineira	genus
Jassa	genus
Juncus	genus
Kadosactis	genus
Karenia	genus
Karlodinium	genus
Katablepharis	genus
Katodinium	genus
Kellicottia	genus
Kelliella	genus
Kephyrion	genus
Keratella	genus
Keratococcus	genus
Kirchenpaueria	genus
Kirchneriella	genus
Kofoidinium	genus
Koliella	genus
Kolkwitziella	genus
Kophobelemnon	genus
Kroyera	genus
Kryptoperidinium	genus
Kurtiella	genus
Labidoplax	genus
Laboea	genus
Labrus	genus
Lacrymaria	genus
Lacuna	genus
Lacunastrum	genus
Laetmatophilus	genus
Laetmonice	genus
Lagerheimia	genus
Lagis	genus
Laminaria	genus
Lampetra	genus
Lamprops	genus
Lanassa	genus
Lanice	genus
Laomedea	genus
Laonice	genus
Laonome	genus
Lauderia	genus
Leaena	genus
Leathesia	genus
Lebbeus	genus
Leegaardiella	genus
Lekanesphaera	genus
Lembos	genus
Lemmermanniella	genus
Lemna	genus
Lennoxia	genus
Lepeophtheirus	genus
Lepeta	genus
Lepidepecreum	genus
Lepidochitona	genus
Lepidodinium	genus
Lepidonotus	genus
Lepidostoma	genus
Lepocinclis	genus
Leprotintinnus	genus
Leptasterias	genus
Leptocerus	genus
Leptocheirus	genus
Leptochiton	genus
Leptoclinus	genus
Leptocylindrus	genus
Leptodora	genus
Leptognathia	genus
Leptomysis	genus
Leptopentacta	genus
Leptophoxus	genus
Leptostylis	genus
Leptosynapta	genus
Lessardia	genus
Lesueurigobius	genus
Leuckartiara	genus
Leucocryptos	genus
Leucon	genus
Leucosolenia	genus
Leucothoe	genus
Levinsenia	genus
Libellula	genus
Licmophora	genus
Liljeborgia	genus
Limacia	genus
Limanda	genus
Limapontia	genus
Limaria	genus
Limecola	genus
Limnactinia	genus
Limnephilus	genus
Limnocalanus	genus
Limnococcus	genus
Limnodrilus	genus
Limnoria	genus
Limnothrix	genus
Limosella	genus
Lineus	genus
Lingulodinium	genus
Liocarcinus	genus
Lioloma	genus
Lipobranchius	genus
Lithodes	genus
Lithodesmium	genus
Lithothamnion	genus
Littorina	genus
Lobocystis	genus
Lohmanniella	genus
Lomentaria	genus
Longipedia	genus
Lophius	genus
Lota	genus
Lucinoma	genus
Luidia	genus
Lumbriculus	genus
Lumbrineris	genus
Lumpenus	genus
Lycodes	genus
Lymnaea	genus
Lyngbya	genus
Lyonsia	genus
Lysianassa	genus
Lysilla	genus
Lysimachia	genus
Macandrevia	genus
Macoma	genus
Macomangulus	genus
Macrochaeta	genus
Macrocypris	genus
Macropelopia	genus
Macropipus	genus
Macroplea	genus
Macropodia	genus
Maera	genus
Magallana	genus
Magelona	genus
Malacobdella	genus
Malacoceros	genus
Maldane	genus
Mallomonas	genus
Malmgrenia	genus
Malmgreniella	genus
Mamiella	genus
Manayunkia	genus
Mangelia	genus
Mantoniella	genus
Marenzelleria	genus
Marshallora	genus
Marthasterias	genus
Maxmuelleria	genus
Medicorophium	genus
Mediomastus	genus
Megamoera	genus
Megamphopus	genus
Meganyctiphanes	genus
Melanella	genus
Melanogrammus	genus
Melinna	genus
Melinnacheres	genus
Melita	genus
Melobesia	genus
Melosira	genus
Melphidippa	genus
Melphidippella	genus
Membranipora	genus
Membranoptera	genus
Mendicula	genus
Meridion	genus
Meringosphaera	genus
Merismopedia	genus
Merlangius	genus
Merluccius	genus
Merona	genus
Mertensia	genus
Mesocyclops	genus
Mesodinium	genus
Mesogloia	genus
Mesopodopsis	genus
Mesoporos	genus
Mesothuria	genus
Metopa	genus
Metridia	genus
Metridium	genus
Meuniera	genus
Micracanthodinium	genus
Micractinium	genus
Microcalanus	genus
Microchironomus	genus
Microclymene	genus
Microcystis	genus
Microdeutopus	genus
Micromonas	genus
Micronecta	genus
Microprotopus	genus
Micropsectra	genus
Microsetella	genus
Microstomus	genus
Microtendipes	genus
Micrura	genus
Mimachlamys	genus
Mnemiopsis	genus
Modiolula	genus
Modiolus	genus
Molanna	genus
Molgula	genus
Molva	genus
Monia	genus
Monocorophium	genus
Monoculodes	genus
Monodiamesa	genus
Monomorphina	genus
Monoporeia	genus
Monopseudocuma	genus
Monoraphidium	genus
Monosiga	genus
Monostroma	genus
Monstrilla	genus
Montacuta	genus
Mougeotia	genus
Mucidosphaerium	genus
Mullus	genus
Munida	genus
Munidopsis	genus
Munnopsis	genus
Musculus	genus
Mya	genus
Mycale	genus
Myoxocephalus	genus
Myrianida	genus
Myriochele	genus
Myriophyllum	genus
Myrtea	genus
Mysella	genus
Mysia	genus
Mysis	genus
Mystacides	genus
Mytilopsis	genus
Mytilus	genus
Myxicola	genus
Myxilla	genus
Myxine	genus
NA	genus
Najas	genus
Nassarius	genus
Natatolana	genus
Navicula	genus
Neanthes	genus
Nebalia	genus
Nebrioporus	genus
Necora	genus
Nemalion	genus
Nematodinium	genus
Nematopsides	genus
Nemertesia	genus
Neoamphitrite	genus
Neocalyptrella	genus
Neogobius	genus
Neogyptis	genus
Neohela	genus
Neoleanira	genus
Neomenia	genus
Neomysis	genus
Nephasoma	genus
Nephrochlamys	genus
Nephrocytium	genus
Nephrops	genus
Nephroselmis	genus
Nephtys	genus
Neptunea	genus
Nereimyra	genus
Nereis	genus
Nerophis	genus
Neureclipsis	genus
Nicippe	genus
Nicolea	genus
Nicomache	genus
Nipponnemertes	genus
Nitella	genus
Nitzschia	genus
Noctiluca	genus
Nodularia	genus
Nostoc	genus
Notholca	genus
Nothria	genus
Notomastus	genus
Notoproctus	genus
Nototropis	genus
Nucella	genus
Nucula	genus
Nuculana	genus
Nuphar	genus
Nyctiphanes	genus
Nyctobrya	genus
Nymphaea	genus
Nymphon	genus
Obelia	genus
Oblea	genus
Obtusella	genus
Oceanobdella	genus
Ochromonas	genus
Ocnus	genus
Odontella	genus
Odonthalia	genus
Odontocerum	genus
Odostomia	genus
Oecetis	genus
Oedogonium	genus
Oikopleura	genus
Oithona	genus
Ollicola	genus
Oltmannsiellopsis	genus
Oncaea	genus
Onchidoris	genus
Onchnesoma	genus
Onoba	genus
Oocystis	genus
Ophelia	genus
Ophelina	genus
Ophiocomina	genus
Ophiocten	genus
Ophiopholis	genus
Ophiothrix	genus
Ophiura	genus
Ophrydium	genus
Ophryotrocha	genus
Orbinia	genus
Orchestia	genus
Orthetrum	genus
Orthocladius	genus
Osmundea	genus
Ostrea	genus
Oulimnius	genus
Owenia	genus
Oxydromus	genus
Oxypolella	genus
Oxyrrhis	genus
Oxyrrhynchium	genus
Oxytoxum	genus
Pachycerianthus	genus
Pachysphaera	genus
Pagastiella	genus
Pagurus	genus
Palaemon	genus
Pallaseopsis	genus
Palliolum	genus
Palmaria	genus
Pandalina	genus
Pandalus	genus
Pandorina	genus
Panningia	genus
Pannus	genus
Panomya	genus
Panthalis	genus
Paracalanus	genus
Parachironomus	genus
Paracladius	genus
Paracladopelma	genus
Paradiopatra	genus
Paradoneis	genus
Paradulichia	genus
Paraedwardsia	genus
Paraeuchaeta	genus
Parafavella	genus
Parakiefferiella	genus
Paralauterborniella	genus
