taxon_name_from	taxon_name_to	Match_type	Match_origin	taxon_id (if not in DynTaxa)	Note
Chorda filum/Halosiphon tomentosus	Phaeophyceae 	antag felstav			
Chroococcus limneticus	Limnococcus limneticus	Exact	Dyntaxa		
Chroococcus microscopicus	Eucapsis microscopica	Exact	Dyntaxa		
Chrysochromulina ericina	Haptolina ericina	Exact	Dyntaxa		
Chrysochromulina hirta	Haptolina hirta	Exact	Dyntaxa		
Chrysochromulina polylepis	Prymnesium polylepis	Exact	Dyntaxa		
Chrysoflagellat	Chrysophyceae	antag felstav			
Cingula semistriata	Crisilla semistriata	Exact	Dyntaxa		
Cirrophorus eliasoni	Paradoneis eliasoni	Exact	Dyntaxa		
Cladophora aegagropila	Aegagropila linnaei	Exact	Dyntaxa		
Clathrus turtonis	Epitonium turtonis	Exact	Dyntaxa		
Clavelina lepadiformes	Clavelina lepadiformis	Exact	Dyntaxa		
Closterium acutum var.acutum	Closterium acutum var. Acutum	antag felstav			
Clymenella cincta	Maldane cincta	Exact	Dyntaxa		
Cnidaria/Bryozoa	Animalia	Special			
Corophidae	Corophiidae	Exact	Dyntaxa		
Corophium affine	Medicorophium affine	Exact	Dyntaxa		
Corophium bonelli	Crassicorophium bonnellii	Exact	Dyntaxa		
Corophium bonnellii	Crassicorophium bonnellii	Exact	Dyntaxa		
Corophium insidiosum	Monocorophium insidiosum	Exact	Dyntaxa		
Corophium lacustre	Apocorophium lacustre	Exact	Dyntaxa		
Corycaeus anglicus	Ditrichocorycaeus anglicus	Exact	Dyntaxa		
Coryphella lineata	Fjordia lineata	Exact	Dyntaxa		
Coscinodiscus commutatus	Coscinodiscopsis commutata	Exact	Dyntaxa		
Crangon allmani	Crangon allmanni	Exact	Dyntaxa		
Crania anomala	Novocrania anomala	exact	Worms		
Craspedophyceae	Choanoflagellatea	Exact	Dyntaxa		
Crassostrea gigas	Magallana gigas	Exact	Dyntaxa		
Crucigeniella	Crucigenia	OK		1010745	
Crucigeniella apiculata	Willea apiculata	Exact	Dyntaxa		
Crucigeniella rectangularis	Willea rectangularis	Exact	Dyntaxa		
Cryptomonas baltica	Rhodomonas baltica	antag felstav			
Ctenolabrus rupestri	Ctenolabrus rupestris	felstav			
#Ctenophora	Ctenophora (Ctenophora)	OK		249727	Kammanet i dyntaxa har id 5000006 den andra 249727 är en insekt
Ctenophora				5000006	
Cucumaria elongata	Leptopentacta elongata	Exact	Dyntaxa		
Cultellus pellucidus	Phaxas pellucidus	Exact	Dyntaxa		
Cuspidaria abbreviata	Tropidomya abbreviata	exact	Worms		
Cyanodictyon imperfectum	Cyanocatena imperfecta	exact	Worms		
Cyanophtalma obscura	Cyanophthalma obscura	antag felstav			
Cyanophycae	Cyanophyceae	antag felstav			
Cyanophyta	Cyanobacteria	Exact	Dyntaxa		
Cyanophyta sp	Cyanophyta 	antag felstav			
Cymatopleura solea	Cymatopleura solea var. solea	OK		237914	
Cymbella lanceolata	Cymbella neolanceolata	Exact	Dyntaxa		
Cypridina megalops	Skogsbergia megalops	exact	Worms		
Decipula tenella	Tellimya tenella	antag felstav			
Demicryptochironomus	Demicryptochironomus (Demicryptochironomus)	OK		235310	
Desmodesmus quadricauda	Scenedesmus quadricauda	Exact	Dyntaxa		
Desmosoma filipes	Eugerda filipes	exact	Worms		
Diaphana hyalina	Diaphana minuta	Exact	Dyntaxa		
Diastylis biplicata	Diastyloides biplicatus	Exact	Dyntaxa		
Diastylis luficera	Diastylis lucifera	antag felstav			
Diastyloides biplicata	Diastyloides biplicatus	Exact	Dyntaxa		
Diastyloides serrata	Diastyloides serratus	Exact	Dyntaxa		
Diatomophyceae	Bacillariophyta	Exact	Dyntaxa		
Dictyosphaerium ehrenberg	Dictyosphaerium ehrenbergianum	antag felstav			
Dictyosphaerium pulchellum	Mucidosphaerium pulchellum	Exact	Dyntaxa		
Dilsea carnosa / Palmaria palmata	Dilsea carnosa/Palmaria palmata	antag felstav			
Dinoflagellate	Dinophyceae	antag felstav			
Dinophysis rotundata	Phalacroma rotundatum	exact	Worms		
Diploccirus glaucus	Diplocirrus glaucus	antag felstav			
Distylis laevis	Diastylis laevis	antag felstav			
Dolichospermum flos-aquae	Dolichospermum flosaquae	Exact	Dyntaxa		
Dosinia lincta	Dosinia lupinus	exact	Worms		
Duasmodactyla commune	Thyonidium drummondi	Exact	Dyntaxa		
Dulichia monacantha	Dyopedos monacanthus	Exact	Dyntaxa		
Dulichia porrecta	Dyopedos porrectus	Exact	Dyntaxa		
Dyopedos monacantha	Dyopedos monacanthus	Exact	Dyntaxa		
Dyopedus correctus	Dyopedos porrectus	Exact	Dyntaxa		
Ebalia cranchi	Ebalia cranchii	Exact	Dyntaxa		
Echinus acutus	Gracilechinus acutus	Exact	Dyntaxa		
Eclysippe vanelli	Eclysippe eliasoni	Exact	Dyntaxa		
Ectocarpus siliquosus	Ectocarpus siliculosus	antag felstav			
Ectoprocta	Bryozoa	antag felstav			
Edwardsidae	Edwardsiidae	antag felstav			
Electra crustulenta	Einhornia crustulenta	Exact	Dyntaxa		
Elminius modestus	Austrominius modestus	exact	Worms		
enipo kinbergi	Enipo kinbergi				
Ensis directus	Ensis leei	Exact	Dyntaxa		
Entalina quinquangularis	Entalina tetragona	Exact	Dyntaxa		
Entelurus aequoraeus	Entelurus aequoreus	Exact	Dyntaxa		
Enteromorpha	Ulva	exact	Worms		
Enteromorpha intestinalis	Ulva intestinalis	Exact	Dyntaxa		
Epicladia flustrae	Acrochaete flustrae	Exact	Dyntaxa		
Epitonium clathrum	Epitonium clathrus	Exact	Dyntaxa		
Ericthonius hunteri	Ericthonius rubricornis	Exact	Dyntaxa		
Erythrops erythrophthalma	Erythrops erythrophthalmus	Exact	Dyntaxa		
Erythrops serrata	Erythrops serratus	Exact	Dyntaxa		
Eteone lactea	Eteone foliosa	Exact	Dyntaxa		
Euchaeta	Paraeuchaeta	Exact	Dyntaxa		
Euglena acus	Lepocinclis acus	Exact	Dyntaxa		
Euglena oxyuris	Lepocinclis oxyuris	Exact	Dyntaxa		
Eukaryotic picoplankton	Eukaryotic picoplankton species incertae sedis	antag felstav			
Eumida fusigera	Sige fusigera	Exact	Dyntaxa		
Eupagurus bernhardus	Pagurus bernhardus	Exact	Dyntaxa		
Eurycope mutica	Baeonectes muticus	Exact	Dyntaxa		
Euspira pulchella	Euspira nitida	Exact	Dyntaxa		
Exogone hebes	Parexogone hebes	Exact	Dyntaxa		
Fabricia sabella	Fabricia stellaris	Exact	Dyntaxa		
Fabriciinae	Fabriciidae	Exact	Dyntaxa		
Fish	Pisces	antag felstav			
Flabellina pedata	Edmundsella pedata	Exact	Dyntaxa		
Flabellina verrucosa	Coryphella verrucosa	Exact	Dyntaxa		
Flagellates	Flagellate	antag felstav			
Fonatinalis	Fontinalis	antag felstav			
Fragilaria fasciculata	Tabularia fasciculata	Exact	Dyntaxa		
Fragilaria gaillonii	Tabularia gaillonii	Exact	Dyntaxa		
Fragilaria striatula	Grammonema striatulum	OK		263254	
Fragilaria ulna var. acus	Ulnaria acus	Exact	Dyntaxa		
Fragilaria ulna var. ulna	Ulnaria ulna var. ulna	antag felstav			
Fucus vesiculosus/radicans	Fucus radicans/Fucus vesiculosus 	antag felstav			
Funiculina quadriangularis	Funiculina quadrangularis	Exact	Dyntaxa		
Gastropoda egg capsule	Gastropoda	antag felstav			
Gastropoda egg capsules	Gastropoda	antag felstav			
Gastropoda/Bivalvia	Mollusca	antag felstav			
Gattyana cirrosa	Gattyana cirrhosa	Exact	Dyntaxa		
Glaux maritima	Lysimachia maritima	Exact	Dyntaxa		
Glycera gigantea	Glycera fallax	exact	Worms		
Glycera rouxi	Glycera unicornis	exact	Worms		
Glycera rouxii	Glycera unicornis	exact	Worms		
Glycera rouxii, frgm	Glycera rouxii	antag felstav			
Gnathia oxyurea	Gnathia oxyuraea	Exact	Dyntaxa		
Golfingia procera	Thysanocardia procera	Exact	Dyntaxa		
Golfingia sp	Golfingia 	antag felstav			
Goniochloris spp	Goniochloris 	antag felstav			
Gonyaulax catenata	Peridiniella catenata	exact	Worms		
Gonyaulax digitale	Gonyaulax digitalis	Exact	Dyntaxa		
Gorgonacea	Alcyonacea	Exact	Dyntaxa		
Gymnodinium chlorophorum	Lepidodinium chlorophorum	Exact	Dyntaxa		
Gymnodinium galatheanum	Karlodinium veneficum	exact	Worms		
Gymnodinium halophilum	Biecheleria halophila	exact	Worms		
Gymnodinium helveticum	Gyrodinium helveticum	Exact	Dyntaxa		
Gymnodinium sanguineum	Akashiwo sanguinea	exact	Worms		
